DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_05DEG_DAILY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-ATM45,V4r5
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_05DEG_MONTHLY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-ATM45,V4r5
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Daily Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_DAILY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ATM45,V4r5
"ECCO Atmosphere Surface Temperature, Humidity, Wind, and Pressure - Monthly Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_ATMOSPHERE_STATE_LLC0090GRID_MONTHLY_V4R5,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ATM45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_05DEG_DAILY_V4R5,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-BOL45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_05DEG_MONTHLY_V4R5,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-BOL45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_DAILY_V4R5,OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-BOL45,V4r5
ECCO Gent-McWilliams Ocean Bolus Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_BOLUS_VELOCITY_LLC0090GRID_MONTHLY_V4R5,OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-BOL45,V4r5
ECCO Ice Shelf Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_DAILY_V4R5,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ISF45,V4r5
ECCO Ice Shelf Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_MONTHLY_V4R5,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ISF45,V4r5
ECCO Ice Front Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_FRONT_FLUX_LLC0090GRID_DAILY_V4R5,ICE_FRONT_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-IFF45,V4r5
ECCO Ice Front Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_ICE_FRONT_FLUX_LLC0090GRID_MONTHLY_V4R5,ICE_FRONT_FLUX_mon_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-IFF45,V4r5
ECCO Ice Shelf Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_05DEG_DAILY_V4R5,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-ISF45,V4r5
ECCO Ice Shelf Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_ICE_SHELF_FLUX_05DEG_MONTHLY_V4R5,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-ISF45,V4r5
ECCO Ice Front Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_ICE_FRONT_FLUX_05DEG_DAILY_V4R5,ICE_FRONT_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-IFF45,V4r5
ECCO Ice Front Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_ICE_FRONT_FLUX_05DEG_MONTHLY_V4R5,ICE_FRONT_FLUX_mon_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-IFF45,V4r5
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_05DEG_DAILY_V4R5,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-ODE45,V4r5
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_05DEG_MONTHLY_V4R5,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-ODE45,V4r5
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_DAILY_V4R5,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ODE45,V4r5
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_MONTHLY_V4R5,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ODE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-FRE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-FRE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-FRE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-FRE45,V4r5
ECCO Global Mean Atmospheric Pressure - Snapshot (Version 4 Release 5),ECCO_L4_GMAP_TIME_SERIES_SNAPSHOT_V4R5,GLOBAL_MEAN_ATM_SURFACE_PRES_snap_ECCO_V4r5_1D.nc,10.5067/ECTSS-MAP45,V4r5
ECCO Global Mean Sea Level - Daily Mean (Version 4 Release 5),ECCO_L4_GMSL_TIME_SERIES_DAILY_V4R5,GLOBAL_MEAN_SEA_LEVEL_day_mean_ECCO_V4r5_1D.nc,10.5067/ECTSD-MSL45,V4r5
ECCO Global Mean Sea Level - Monthly Mean (Version 4 Release 5),ECCO_L4_GMSL_TIME_SERIES_MONTHLY_V4R5,GLOBAL_MEAN_SEA_LEVEL_mon_mean_ECCO_V4r5_1D.nc,10.5067/ECTSM-MSL45,V4r5
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-HEA45,V4r5
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-HEA45,V4r5
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-HEA45,V4r5
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-HEA45,V4r5
ECCO Ocean Mixed Layer Depth - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_05DEG_DAILY_V4R5,OCEAN_MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-OML45,V4r5
ECCO Ocean Mixed Layer Depth - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_05DEG_MONTHLY_V4R5,OCEAN_MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-OML45,V4r5
ECCO Ocean Mixed Layer Depth - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_LLC0090GRID_DAILY_V4R5,OCEAN_MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-OML45,V4r5
ECCO Ocean Mixed Layer Depth - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_LLC0090GRID_MONTHLY_V4R5,OCEAN_MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-OML45,V4r5
ECCO Ocean Bottom Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OBP_05DEG_DAILY_V4R5,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-OBP45,V4r5
ECCO Ocean Bottom Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OBP_05DEG_MONTHLY_V4R5,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-OBP45,V4r5
ECCO Ocean Bottom Pressure - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OBP_LLC0090GRID_DAILY_V4R5,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-OBP45,V4r5
ECCO Ocean Bottom Pressure - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OBP_LLC0090GRID_MONTHLY_V4R5,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-OBP45,V4r5
ECCO Ocean Bottom Pressure - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_OBP_LLC0090GRID_SNAPSHOT_V4R5,OCEAN_BOTTOM_PRESSURE_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5S-OBP45,V4r5
ECCO Ocean Momentum Tendency in X - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_TEND_X_LLC0090GRID_DAILY_V4R5,OCEAN_MOMENTUM_TEND_X_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-XMT45,V4r5
ECCO Ocean Momentum Tendency in X - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_TEND_X_LLC0090GRID_MONTHLY_V4R5,OCEAN_MOMENTUM_TEND_X_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-XMT45,V4r5
ECCO Ocean Momentum Tendency in Y - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_TEND_Y_LLC0090GRID_DAILY_V4R5,OCEAN_MOMENTUM_TEND_Y_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-YMT45,V4r5
ECCO Ocean Momentum Tendency in Y - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_TEND_Y_LLC0090GRID_MONTHLY_V4R5,OCEAN_MOMENTUM_TEND_Y_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-YMT45,V4r5
ECCO Ocean Momentum Advective Tendency in X - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_X_LLC0090GRID_DAILY_V4R5,OCEAN_MOMENTUM_ADV_TEND_X_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-XMA45,V4r5
ECCO Ocean Momentum Advective Tendency in X - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_X_LLC0090GRID_MONTHLY_V4R5,OCEAN_MOMENTUM_ADV_TEND_X_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-XMA45,V4r5
ECCO Ocean Momentum Advective Tendency in Y - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_Y_LLC0090GRID_DAILY_V4R5,OCEAN_MOMENTUM_ADV_TEND_Y_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-YMA45,V4r5
ECCO Ocean Momentum Advective Tendency in Y - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_ADV_TEND_Y_LLC0090GRID_MONTHLY_V4R5,OCEAN_MOMENTUM_ADV_TEND_Y_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-YMA45,V4r5
