DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
ECCO Ocean Momentum Dissipative Tendency in X - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_X_LLC0090GRID_DAILY_V4R5,OCEAN_MOMENTUM_DISS_TEND_X_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-XMD45,V4r5
ECCO Ocean Momentum Dissipative Tendency in X - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_X_LLC0090GRID_MONTHLY_V4R5,OCEAN_MOMENTUM_DISS_TEND_X_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-XMD45,V4r5
ECCO Ocean Momentum Dissipative Tendency in Y - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_Y_LLC0090GRID_DAILY_V4R5,OCEAN_MOMENTUM_DISS_TEND_Y_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-YMD45,V4r5
ECCO Ocean Momentum Dissipative Tendency in Y - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MOMENTUM_DISS_TEND_Y_LLC0090GRID_MONTHLY_V4R5,OCEAN_MOMENTUM_DISS_TEND_Y_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-YMD45,V4r5
ECCO Ocean Salinity Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_SALINITY_FLUX_LLC0090GRID_DAILY_V4R5,OCEAN_SALINITY_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-3SF45,V4r5
ECCO Ocean Salinity Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_SALINITY_FLUX_LLC0090GRID_MONTHLY_V4R5,OCEAN_SALINITY_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-3SF45,V4r5
ECCO Ocean Potential Temperature Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_FLUX_LLC0090GRID_DAILY_V4R5,OCEAN_TEMPERATURE_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-3TF45,V4r5
ECCO Ocean Potential Temperature Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_FLUX_LLC0090GRID_MONTHLY_V4R5,OCEAN_TEMPERATURE_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-3TF45,V4r5
ECCO Ocean Volume Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VOLUME_FLUX_LLC0090GRID_DAILY_V4R5,OCEAN_VOLUME_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-3VF45,V4r5
ECCO Ocean Volume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VOLUME_FLUX_LLC0090GRID_MONTHLY_V4R5,OCEAN_VOLUME_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-3VF45,V4r5
ECCO Gent-McWilliams Bolus Transport Streamfunction - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_BOLUS_STREAMFUNCTION_LLC0090GRID_DAILY_V4R5,OCEAN_BOLUS_STREAMFUNCTION_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-STF45,V4r5
ECCO Gent-McWilliams Bolus Transport Streamfunction - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_BOLUS_STREAMFUNCTION_LLC0090GRID_MONTHLY_V4R5,OCEAN_BOLUS_STREAMFUNCTION_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-STF45,V4r5
ECCO Ocean Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_05DEG_DAILY_V4R5,OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-OVE45,V4r5
ECCO Ocean Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_05DEG_MONTHLY_V4R5,OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-OVE45,V4r5
ECCO Ocean Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_LLC0090GRID_DAILY_V4R5,OCEAN_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-OVE45,V4r5
ECCO Ocean Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_VELOCITY_LLC0090GRID_MONTHLY_V4R5,OCEAN_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-OVE45,V4r5
ECCO SBO Core Products - Snapshot (Version 4 Release 5),ECCO_L4_SBO_CORE_TIME_SERIES_SNAPSHOT_V4R5,SBO_CORE_PRODUCTS_snap_ECCO_V4r5_1D.nc,10.5067/ECTSS-SBO45,V4r5
ECCO Sea-Ice and Snow Concentration and Thickness - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_05DEG_DAILY_V4R5,SEA_ICE_CONC_THICKNESS_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-ICO45,V4r5
ECCO Sea-Ice and Snow Concentration and Thickness - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_05DEG_MONTHLY_V4R5,SEA_ICE_CONC_THICKNESS_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-ICO45,V4r5
ECCO Sea-Ice and Snow Concentration and Thickness - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_LLC0090GRID_DAILY_V4R5,SEA_ICE_CONC_THICKNESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ICO45,V4r5
ECCO Sea-Ice and Snow Concentration and Thickness - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_LLC0090GRID_MONTHLY_V4R5,SEA_ICE_CONC_THICKNESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ICO45,V4r5
ECCO Sea-Ice and Snow Concentration and Thickness - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_CONC_THICKNESS_LLC0090GRID_SNAPSHOT_V4R5,SEA_ICE_CONC_THICKNESS_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5S-ICO45,V4r5
ECCO Sea-Ice and Snow Horizontal Volume Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_HORIZ_VOLUME_FLUX_LLC0090GRID_DAILY_V4R5,SEA_ICE_HORIZ_VOLUME_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-SIH45,V4r5
ECCO Sea-Ice and Snow Horizontal Volume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_HORIZ_VOLUME_FLUX_LLC0090GRID_MONTHLY_V4R5,SEA_ICE_HORIZ_VOLUME_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-SIH45,V4r5
ECCO Sea-Ice Salt Plume Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_SALT_PLUME_FLUX_LLC0090GRID_DAILY_V4R5,SEA_ICE_SALT_PLUME_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ISP45,V4r5
ECCO Sea-Ice Salt Plume Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_SALT_PLUME_FLUX_LLC0090GRID_MONTHLY_V4R5,SEA_ICE_SALT_PLUME_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ISP45,V4r5
ECCO Sea-Ice and Snow Thermodynamic Budget - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_THERM_BUDGET_LLC0090GRID_DAILY_V4R5,SEA_ICE_THERMO_BUDG_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-STB45,V4r5
ECCO Sea-Ice and Snow Thermodynamic Budget - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_THERM_BUDGET_LLC0090GRID_MONTHLY_V4R5,SEA_ICE_THERMO_BUDG_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-STB45,V4r5
ECCO Sea-Ice Velocity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_05DEG_DAILY_V4R5,SEA_ICE_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-SIV45,V4r5
ECCO Sea-Ice Velocity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_05DEG_MONTHLY_V4R5,SEA_ICE_VELOCITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-SIV45,V4r5
ECCO Sea-Ice Velocity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_LLC0090GRID_DAILY_V4R5,SEA_ICE_VELOCITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-SIV45,V4r5
ECCO Sea-Ice Velocity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_LLC0090GRID_MONTHLY_V4R5,SEA_ICE_VELOCITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-SIV45,V4r5
ECCO Sea-Ice Velocity - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_SEA_ICE_VELOCITY_LLC0090GRID_SNAPSHOT_V4R5,SEA_ICE_VELOCITY_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5S-SIV45,V4r5
ECCO Sea Surface Height - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SSH_05DEG_DAILY_V4R5,SEA_SURFACE_HEIGHT_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-SSH45,V4r5
ECCO Sea Surface Height - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SSH_05DEG_MONTHLY_V4R5,SEA_SURFACE_HEIGHT_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-SSH45,V4r5
ECCO Sea Surface Height - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SSH_LLC0090GRID_DAILY_V4R5,SEA_SURFACE_HEIGHT_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-SSH45,V4r5
ECCO Sea Surface Height - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SSH_LLC0090GRID_MONTHLY_V4R5,SEA_SURFACE_HEIGHT_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-SSH45,V4r5
ECCO Sea Surface Height - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_SSH_LLC0090GRID_SNAPSHOT_V4R5,SEA_SURFACE_HEIGHT_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5S-SSH45,V4r5
ECCO Ocean and Sea-Ice Surface Stress - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_05DEG_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-STR45,V4r5
ECCO Ocean and Sea-Ice Surface Stress - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_05DEG_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-STR45,V4r5
ECCO Ocean and Sea-Ice Surface Stress - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_LLC0090GRID_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-STR45,V4r5
ECCO Ocean and Sea-Ice Surface Stress - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_STRESS_LLC0090GRID_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-STR45,V4r5
ECCO Ocean Temperature and Salinity - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_05DEG_DAILY_V4R5,OCEAN_TEMPERATURE_SALINITY_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-OTS45,V4r5
ECCO Ocean Temperature and Salinity - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_05DEG_MONTHLY_V4R5,OCEAN_TEMPERATURE_SALINITY_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-OTS45,V4r5
ECCO Ocean Temperature and Salinity - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_LLC0090GRID_DAILY_V4R5,OCEAN_TEMPERATURE_SALINITY_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-OTS45,V4r5
ECCO Ocean Temperature and Salinity - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_LLC0090GRID_MONTHLY_V4R5,OCEAN_TEMPERATURE_SALINITY_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-OTS45,V4r5
ECCO Ocean Temperature and Salinity - Snapshot llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_TEMPERATURE_SALINITY_LLC0090GRID_SNAPSHOT_V4R5,OCEAN_TEMPERATURE_SALINITY_snap_1992-01-01T000000_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5S-OTS45,V4r5
ECCO Geometry Parameters - llc90 Grid (Version 4 Release 5),ECCO_L4_GEOMETRY_LLC0090GRID_V4R5,GRID_GEOMETRY_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5A-GRD45,V4r5
ECCO Geometry Parameters - 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_GEOMETRY_05DEG_V4R5,GRID_GEOMETRY_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5A-GRD45,V4r5
ECCO Ocean Mixing Coefficients - llc90 Grid (Version 4 Release 5),ECCO_L4_OCEAN_MIX_COEFFS_LLC0090GRID_V4R5,OCEAN_MIXING_COEFFS_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5A-MIX45,V4r5
ECCO Ocean Mixing Coefficients - 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OCEAN_MIX_COEFFS_05DEG_V4R5,OCEAN_MIXING_COEFFS_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5A-MIX45,V4r5